Province,2010_T,2011_T,2012_T,2013_T,2014_T,2015_T,2016_T,2017_T,2018_T,2019_T,2020_T,2021_T,2022_T,2023_T,2024_T,2025_T,2010_AG,2011_AG,2012_AG,2013_AG,2014_AG,2015_AG,2016_AG,2017_AG,2018_AG,2019_AG,2020_AG,2021_AG,2022_AG,2023_AG,2024_AG,2025_AG,2010_AG%,2011_AG%,2012_AG%,2013_AG%,2014_AG%,2015_AG%,2016_AG%,2017_AG%,2018_AG%,2019_AG%,2020_AG%,2021_AG%,2022_AG%,2023_AG%,2024_AG%,Mean_AG%,STD_AG%,S2
Jawa Tengah,623224621.33,692561627.45,754529436.05,830016016.43,922471181.11,1010986637.17,1087316682.68,1172794523.68,1268261165.59,1360960130.98,1347222485.02,1419735153.25,1559140360.34,1695621564.89,1817776957.16,0,36195803.8,40759720.480000004,44374417.83,49617812.32,55143787.45,59946669.64,63200969.46,66954438.97,72193880.14,76996615.39,77537080.95,81735958.15,87961535.1,95419297.55,101274177.09,0,0.05807826353643716,0.05885356459911963,0.05881071792546933,0.05977934321486019,0.05977833083484088,0.05929521463093267,0.05812563208744605,0.057089658604399046,0.056923512363808076,0.05657521747867536,0.057553285973288175,0.0575712716297074,0.056416687898976796,0.056273934895484844,0.05571320325691965,0.057789189262024344,0.0013055858565648045,0.16754391651645323
Jawa Timur,990648843.84,1120577157.05,1248767292.9,1382501497.36,1537947627.98,1691477062.3,1855738429.17,2012917991.96,2188766345.09,2345548552.28,2299807635.68,2454791996.33,2731423633.83,2953546975.61,3168295583.62,0,74121423.24000001,83457376.62,96470231.61000001,107983369.80000001,123257294.61,135923709.3,145131415.82,156390447.06,157644335.99,163763143.68,167421325.35,177986125.18,191437886.93,205709820.47,215793862.14,0,0.07482108690773517,0.07447713537165755,0.0772523689229305,0.0781072353311755,0.0801440129478862,0.08035799735597751,0.07820682782589766,0.0776934021577903,0.07202428726284066,0.06981869700408178,0.07279796916601565,0.07250558313946578,0.07008721919183439,0.0696483997609398,0.06811039451484523,0.07440350779073825,0.0040480782154394945,0.21608258910490882
Kalimantan Barat,86065854.86,96727127.55,106958803.84,118640957.95,132345286.9,146653547.21,161364237.45,177493653.83,194138220.75,212150332.22,213950353.68,231321163.28,255797278.97,274468581.16,300166887.77,0,16581756.79,17935581.17,18798242.52,20317278.86,21420830.59,22593913.34,24253399.62,26854220.35,29002632.34,31792894.24,34062772.86,38756384.96,43468249.94,45681532.64,52994628.6,0,0.19266359251265094,0.18542451972151014,0.1757521760258309,0.17125012483937044,0.16185563605438827,0.1540631902182818,0.15030219832641115,0.15129679157836512,0.14939166655569547,0.1498602142514241,0.15920877097939648,0.16754361948754246,0.16993241724474314,0.16643629098432286,0.17655054824237185,0.1654354504681537,0.013470117543943783,0.4820320864059072
Kalimantan Selatan,85304997.96,98780551.08,106725429.31,115858201.6,127882282.38,137056121.37,146090434.68,159104554.99,171684055.9,180557639.22,179162024.57,197882424.1,251098645.19,269192015.66,286818866.85,0,9095337.290000001,10070188.44,10821284.67,11716434.56,13091622.74,14101836.0,14628636.25,15751527.06,16777257.580000002,17549571.53,17770155.18,19043185.59,20783033.37,21415594.16,22809957.82,0,0.10662138804885568,0.10194505223851602,0.10139368602180046,0.10112736429701323,0.1023724514166745,0.10289096071769274,0.10013411406464028,0.09900110691984909,0.09772169868687265,0.09719650525900358,0.09918483128692857,0.09623485095561855,0.08276840105717817,0.07955508675654306,0.07952739675221264,0.09651165963195994,0.008640661949664064,0.2806714762086635
Kalimantan Tengah,56531023.58,65871408.41,73425382.65,81956921.54,89889882.52,100063520.14,111967018.47,125817074.16,138616134.66,150046095.64,152187394.25,169655943.89,199741287.91,208783348.5,222864501.95,0,12099801.72,13740225.07,14839294.15,16275483.26,18586548.46,20056925.94,21557327.77,23361294.38,24575124.47,26690219.48,29642473.54,34119057.49,37409895.47,41249943.51,45855599.82,0,0.21403825640759785,0.2085916394025983,0.2021003311720569,0.19858582965511418,0.2067701941413106,0.20044193840010954,0.19253283747817207,0.1856766622174963,0.17728906184174217,0.17788013320944285,0.19477614217709754,0.20110735119378909,0.1872917505511242,0.1975729568778326,0.2057555125144505,0.19669403981599565,0.010870711471948357,0.5733539441943973
Kalimantan Timur,418211580.01,515191475.84,550735764.01,519131868.87,527515256.1,505105062.08,508880236.5,591903487.0,635498679.83,652480257.35,607744486.25,696632667.8,921450986.07,843571252.08,858430740.18,0,23865468.32,28176086.93,31683565.46,26856331.5,34284720.839999996,36065830.38,39030852.89,44122542.89,46667165.519999996,48243047.07,49646867.73,55351548.42,61039508.059999995,63491869.34,69850776.11,0,0.057065536825712346,0.054690514597626,0.057529522378039544,0.05173315897261031,0.06499285175839675,0.07140263103181452,0.07669948661879307,0.07454347517638463,0.07343392992174863,0.07393794145731787,0.08169036306086273,0.07945586099888612,0.06624281593135437,0.07526556788587523,0.08137031077819201,0.0693369311595743,0.010004802499002326,0.20128060346707696
Kalimantan Utara,0.0,0.0,0.0,52604702.15,59184002.83,61722392.31,66041813.24,76927567.04,85548942.68,96509929.57,100423209.56,111530221.63,138674956.61,147278623.33,146793483.41,0,0.0,0.0,0.0,7238307.98,8700527.57,9160222.83,10115364.82,11025497.84,12263535.4,13745596.47,14729911.770000001,16224482.54,17617012.77,18947642.040000003,19597652.349999998,0,,,,0.13759811735765148,0.14700809600512113,0.14841004191789725,0.15316606743125213,0.1433231059324556,0.14335110424301037,0.14242675889665973,0.14667836085441283,0.14547162466711938,0.12703817041417856,0.12865167810229286,0.13350492061873742,0.14138567053673237,0.008076882591558112,0.4117707397308575
Kepulauan Riau,111223671.6,126914203.96,144840792.12,163261571.34,180879982.55,199570394.48,216007664.12,227706877.03,248822233.1,267631477.89,254095346.27,275622850.57,308739719.48,331644524.6,352436428.9,0,4315812.920000001,4655082.59,5041620.76,5574777.34,6170788.2,6764021.8,7392154.43,7634095.7,7736861.8,7793553.9399999995,7602720.39,8031599.51,8930498.35,9411814.71,9873992.15,0,0.03880300711094311,0.036678972445567705,0.03480801703861877,0.03414629232246124,0.03411537370252803,0.03389291191022754,0.034221722919485824,0.03352597778148888,0.031093932819462346,0.029120468195461116,0.02992073842203076,0.02913981730248528,0.02892565415632734,0.028379225381006033,0.02801637782115208,0.03231923262194973,0.003322076065958953,0.093133528629756
Lampung,150560841.71,170046794.3,187348817.12,204402638.65,230794450.18,252883103.49,279417617.21,306700430.7,332446070.68,356676828.41,353025088.1,371198876.22,414119678.02,448850639.51,483882921.26,0,30021335.0,33494840.72,35866679.870000005,38256662.13,43882383.05,46156881.65,50026664.94,53789826.6,56792573.96,60440252.72,61404072.519999996,64965275.58,72335734.63,77656747.50999999,82259622.66,0,0.19939670009168148,0.19697425557407286,0.19144332172125114,0.18716324986150076,0.19013621434906897,0.18252260041495902,0.1790390507209923,0.1753822988680922,0.1708324416162716,0.16945382459923616,0.1739368520534334,0.17501474207453352,0.17467350253881567,0.1730124470687534,0.16999902051885038,0.18059870147143417,0.01002387485906315,0.5263314703711776
Maluku,18428584.55,21367857.82,24661751.22,27834442.1,31656482.62,34345956.2,37054407.62,39881545.47,43047090.66,46152817.52,46263466.0,48893675.04,54078625.39,58487794.46,62646240.85,0,3499733.4699999997,3894124.1900000004,4493592.449999999,5144451.99,5855268.13,6162688.0600000005,6503563.86,6937001.409999999,7411931.489999999,7989175.31,8245873.44,8618877.88,9746362.68,10853134.33,11575390.780000001,0,0.1899078825345813,0.18224214251159784,0.18220897656107324,0.18482324781354248,0.18496268837842225,0.17942980023948205,0.17551390719007806,0.1739401351740043,0.1721819378815135,0.1731026563337752,0.17823726047676586,0.17627797200658127,0.1802257843965512,0.18556237981280854,0.18477390858481177,0.18022604532637262,0.0052902067334277166,0.5252427567665866
