Province,E1,E2,E3,Exposure,E,S1,S2,S3,Sensitivity,S,A1,A2,A3,A4,A5,A6,A7,Adaptation,A,province,H1,H4,H2,H3,H5,H6,H7,H8,H9,H,Vulnerability,V,Risk,R,R1,R2,R3,R4,R5,R6,R7,R8,R9
Jawa Tengah,0.9200633435760008,0.4068423502422396,0.5385221572956327,0.6218092837046244,0.819093845373253,0.0768369357425263,0.1675439165164532,0.1964501073777714,0.1469436532122503,0.1500929175762578,0.0853388007685294,0.2027146513796882,0.7572639437346449,0.0694214876033056,0.6912079718276214,0.9977145209627843,0.9231630642574736,0.532403491504864,0.5993920200848544,JAWA TENGAH,0.7050171395257019,0.9561428986349114,0.7775190639493954,1.0,0.3608853840402224,0.2675704128782879,0.1512230416699442,0.262582056892779,0.357429718875502,0.5461812065866621,0.41211648180400356,0.744547233689553,0.7032740952164893,0.8509501522444705,0.8306657994105056,0.7765497145809942,0.9449027226948085,0.858802880632857,0.8455635104855346,0.8045644719639646,0.7534458755087785,0.8152371020763652,0.7612080772614537
Jawa Timur,0.893142818073384,0.8949767471508265,0.4893091587870364,0.759142908003749,1.0,0.083310921758352,0.2160825891049088,0.1870124873395343,0.16213533273426503,0.1849417462729156,0.0,0.0763102160594653,0.6860334044836219,0.1680440771349862,0.758657832338724,0.9816980618695536,0.916689078241648,0.512490381446857,0.5679396519681467,JAWA TIMUR,0.7251983621821009,1.0,1.0,0.7955463307076828,0.3205854713347429,0.2603846723915055,0.147730711341138,0.2428884026258206,0.3139042657114946,0.5405397959344014,0.4695959530970524,0.9088884774618305,0.8164760911320773,1.0,0.9824980863900901,1.0,1.0,1.0,0.9795458024728427,0.9530958679749804,0.9036000150459109,1.0,0.8807628495511673
Kalimantan Barat,0.2167065482129479,0.1757813642143863,0.770978623205415,0.3878221785442497,0.5108684734526091,0.105133058702824,0.4820320864059072,0.0477590573482156,0.21164140081898228,0.2985057853002863,0.1514200275383234,0.1166956084160092,0.2993761571973277,0.084297520661157,0.1871406203495108,0.9494059204063094,0.894866941297176,0.38331468512368766,0.3639091644826069,KALIMANTAN BARAT,1.0,0.5907638687191402,0.8828583767382331,0.8689181428109074,0.5369114595738186,0.4250250367452426,0.2803457850775819,0.1531728665207877,0.5759253229132748,0.6296749515832444,0.40538296474651475,0.7252952373977328,0.6219462208111954,0.7438680535557788,0.8171646253374071,0.6891191445796723,0.7654532190620521,0.6073811478846924,0.7790215900909279,0.7298629641762399,0.6662964202601439,0.5672890195158333,0.7180249737272122
Kalimantan Selatan,0.3420255478037054,0.0902423686534455,0.5877666738192321,0.34001153009212765,0.4478886998842233,0.0923773222594487,0.2806714762086635,0.0480578746720515,0.14036889104672123,0.13501079580718278,0.2856093230107204,0.4918679807240705,0.5584770381644207,0.1804407713498622,0.0310687852229877,0.9904598656971384,0.9076226777405512,0.4922209202728216,0.5359244342288799,KALIMANTAN SELATAN,0.6203307860812538,0.4286959047342433,0.8227728492366366,0.7752033840592366,0.2565161697543604,0.1648769195241478,0.1296519581609436,0.2516411378555799,0.4340605665906871,0.3785760952070048,0.3293865002886758,0.5080115148731782,0.44482543665480206,0.510658155626628,0.542968552998256,0.555162317256609,0.6191030673612723,0.4468691825737908,0.5326895077373965,0.49242671706733,0.47695021281653155,0.46411400414458326,0.5507602192351809
Kalimantan Tengah,0.2452083752984716,0.1494125314179526,0.6831537748730135,0.35925822719647926,0.47324189346797546,0.0870869015630835,0.5733539441943973,0.0215789203824285,0.22733992204663644,0.3345172793724581,0.2677331791510748,0.305986194954269,0.2760192351415055,0.1115702479338842,0.0,0.953452039428058,0.9129130984369164,0.40395342786367255,0.39650765523734555,KALIMANTAN TENGAH,0.8591102698168464,0.6462387452802789,0.8639822421738005,0.9864669355860995,0.5297500873886555,0.342321808550404,0.2473505536538759,0.1203501094091903,0.6349723217193097,0.615036097969945,0.39421490712648105,0.6933643160007792,0.5938807691462332,0.7069150717287439,0.7297257039833227,0.6543128472826825,0.7842338104060294,0.6022708855798848,0.7453142437398663,0.6629654080874832,0.6212386616773322,0.5091847169534336,0.7138602758591408
Kalimantan Timur,0.0993429603146069,0.2632730804967065,0.2813753562124974,0.2146637990079369,0.2827712631504644,0.0869921233568374,0.2012806034670769,0.036677845696745,0.10831685750688642,0.061485296234170476,0.3726121876589536,0.5855004971080356,0.5715835309246969,0.5771349862258954,0.1341995928571852,0.9652054750864444,0.9130078766431626,0.5884634495006249,0.6879376279961038,KALIMANTAN TIMUR,0.8320776647442355,0.4812663374963694,0.7968472106174365,0.9503909226911558,0.4360390466388704,0.296900301477183,0.2639676881749628,0.0328227571115973,0.8847281015955716,0.570176767378062,0.24483906900473282,0.2662794720693213,0.3730758341992826,0.41618749514031106,0.4619051869135072,0.3848278142797028,0.528446031141525,0.31830942321052985,0.4328108706537661,0.37167861393552204,0.35720927997355145,0.10902606832157259,0.5681227536026656
Kalimantan Utara,0.0474005670416476,0.0591259821358559,0.3607469930867808,0.1557578474214281,0.2051759237677801,0.1060149709704947,0.4117707397308575,0.0514057565436255,0.1897304890816592,0.2482434289482419,0.2611418215725,0.4690861113194209,0.5498790334455772,0.3239669421487603,0.1548062885422339,0.8939890644059155,0.8939850290295053,0.5066934700662733,0.5587835437484395,KALIMANTAN UTARA,0.6822416802270018,0.1641010746442056,0.6542925294699815,0.8041402444973476,0.351573085284285,0.2543762579897092,0.2358752017991214,0.0218818380743982,0.9409530011939652,0.4182002364477221,0.27959828881227133,0.36566057783143496,0.32967891268231236,0.3590480030947262,0.4087014794098501,0.33729478336128005,0.4797387641026244,0.2111229628962669,0.4052715841242083,0.36256700610414605,0.3544383477977385,0.11518089055478595,0.5990338210753445
Kepulauan Riau,0.2969388516054819,0.0376740642623684,0.0,0.11153763862261677,0.14692574671601352,0.0810135141068308,0.093133528629756,0.104291266193612,0.09281276964339961,0.025919820983746792,0.7957456691686765,0.674072543442551,0.5143128547283682,0.7449035812672175,0.6380779149085043,0.9427897715363656,0.9189864858931692,0.7469841172778361,0.9383179243190471,KEPULAUAN RIAU,0.1203505884754985,0.0040662213186174,0.9557028055799386,0.0,0.2080420155404561,0.1866261253699221,0.0889335903322735,0.2407002188183807,0.2700531857158363,0.0609170136460599,0.15245543032939343,0.002142698668797591,0.06999515301029034,0.017129783979928963,0.0,0.28992356955211135,0.0,0.0,0.15690071337559522,0.14749138821434385,0.10456901512238032,0.0,0.16607340619158872
Lampung,0.6285803084104667,0.3242186639810526,0.8249905888132171,0.5925965204015787,0.7806126015981332,0.1005491879903675,0.5263314703711776,0.0922672581564615,0.23971597217266885,0.3629072180990061,0.149366124156664,0.0376155587474739,0.8606554024453265,0.1363636363636362,0.4442398143710255,0.9781611852194282,0.8994508120096325,0.5008360761875981,0.5495319046051824,LAMPUNG,0.7529236820645656,0.4284054603543421,0.742422770987621,0.9098627220330006,0.2494977897916244,0.181952865973949,0.1266185821211534,0.1181619256017505,0.4810593726256378,0.3973896629159574,0.4438254721288832,0.8352073387936169,0.6710698677692358,0.8085477620809892,0.8722503795088986,0.7832731852019104,0.9300483295279943,0.6862335549205764,0.8195494519528082,0.7898727891509552,0.765561015734583,0.7628870227007234,0.8308707163860297
Maluku,0.6308646683164746,0.0376747903726505,0.7622221168900952,0.47692052519307343,0.6282355010694748,0.1013464704467898,0.5252427567665866,0.0130023781756215,0.21319720179633264,0.30207470219767124,0.3928018936237174,0.589199897528553,0.057323176407761,0.5402203856749311,0.8983525446265795,0.8460406076716209,0.8986535295532101,0.6032274335837676,0.7112570522798811,MALUKU,0.4732641848485854,0.0461806564042985,0.9110383141264564,0.1309410109658997,0.3992888368282326,0.3349716848694319,0.2268640556651509,0.0415754923413566,0.8763703462498644,0.3007526511147646,0.36229676446854614,0.6021062173212884,0.510364789835176,0.5969519575558345,0.5958916729209437,0.697918932915992,0.47437983908140874,0.40765169359684894,0.7159974983371776,0.6877389953561233,0.640240627205419,0.5006495080876363,0.834766861163905
